State,Date,Confirmed,Cured,Deaths
Andaman and Nicobar Islands,5/1/2020,33,16,0
Andaman and Nicobar Islands,5/2/2020,33,16,0
Andaman and Nicobar Islands,5/3/2020,33,17,0
Andaman and Nicobar Islands,5/4/2020,33,32,0
Andaman and Nicobar Islands,5/5/2020,33,32,0
Andaman and Nicobar Islands,5/6/2020,33,32,0
Andaman and Nicobar Islands,5/7/2020,33,32,0
Andaman and Nicobar Islands,5/8/2020,33,33,0
Andaman and Nicobar Islands,5/9/2020,33,33,0
Andaman and Nicobar Islands,5/10/2020,33,33,0
Andaman and Nicobar Islands,5/11/2020,33,33,0
Andaman and Nicobar Islands,5/12/2020,33,33,0
Andaman and Nicobar Islands,5/13/2020,33,33,0
Andaman and Nicobar Islands,5/14/2020,33,33,0
Andaman and Nicobar Islands,5/15/2020,33,33,0
Andaman and Nicobar Islands,5/16/2020,33,33,0
Andaman and Nicobar Islands,5/17/2020,33,33,0
Andaman and Nicobar Islands,5/18/2020,33,33,0
Andaman and Nicobar Islands,5/19/2020,33,33,0
Andaman and Nicobar Islands,5/20/2020,33,33,0
Andaman and Nicobar Islands,5/21/2020,33,33,0
Andaman and Nicobar Islands,5/22/2020,33,33,0
Andaman and Nicobar Islands,5/23/2020,33,33,0
Andaman and Nicobar Islands,5/24/2020,33,33,0
Andaman and Nicobar Islands,5/25/2020,33,33,0
Andaman and Nicobar Islands,5/26/2020,33,33,0
Andaman and Nicobar Islands,5/27/2020,33,33,0
Andaman and Nicobar Islands,5/28/2020,33,33,0
Andaman and Nicobar Islands,5/29/2020,33,33,0
Andaman and Nicobar Islands,5/30/2020,33,33,0
Andaman and Nicobar Islands,5/31/2020,33,33,0
Andaman and Nicobar Islands,6/1/2020,33,33,0
Andaman and Nicobar Islands,6/2/2020,33,33,0
Andaman and Nicobar Islands,6/3/2020,33,33,0
Andaman and Nicobar Islands,6/4/2020,33,33,0
Andaman and Nicobar Islands,6/5/2020,33,33,0
Andaman and Nicobar Islands,6/6/2020,33,33,0
Andaman and Nicobar Islands,6/7/2020,33,33,0
Andaman and Nicobar Islands,6/8/2020,33,33,0
Andaman and Nicobar Islands,6/9/2020,33,33,0
Andaman and Nicobar Islands,6/10/2020,33,33,0
Andaman and Nicobar Islands,6/11/2020,34,33,0
